target,session_id,phase,phase_hours,norm_flux,bjd_tdb
Qatar-1,Qatar-1__2026-08-18,0.03993984959606678,1.3611732712986013,0.9664536069397942,2461270.985770953
Qatar-1,Qatar-1__2026-08-18,0.04134829817166974,1.409174016782083,1.0110231765012585,2461270.987770984
Qatar-1,Qatar-1__2026-08-18,0.04275674674681795,1.4571747622500664,1.0068550890133485,2461270.989771015
Qatar-1,Qatar-1__2026-08-18,0.044165194994548074,1.5051754965594513,0.9882391399565553,2461270.9917710456
Qatar-1,Qatar-1__2026-08-18,0.04557364356969629,1.5531762420274349,1.032834895282615,2461270.9937710767
Qatar-1,Qatar-1__2026-08-18,0.04698209214529925,1.6011769875109165,0.9784412077687269,2461270.9957711077
Qatar-1,Qatar-1__2026-08-18,0.04839054072044746,1.6491777329789,0.9901874362385882,2461270.997771139
Qatar-1,Qatar-1__2026-08-21,-0.05161206647971994,-1.758969201917067,1.010294330118895,2461273.6958134165
Qatar-1,Qatar-1__2026-08-21,-0.05020361823244457,-1.7109684676231804,0.9969931492203195,2461273.697813447
Qatar-1,Qatar-1__2026-08-21,-0.04879516965684161,-1.6629677221396988,1.0033195548811467,2461273.699813478
Qatar-1,Qatar-1__2026-08-21,-0.047386721409566235,-1.6149669878458122,1.001580363522716,2461273.7018135088
Qatar-1,Qatar-1__2026-08-21,-0.04597827316229086,-1.5669662535519253,0.992749904594918,2461273.7038135394
Qatar-1,Qatar-1__2026-08-21,-0.0445698245866879,-1.5189655080684437,0.9909987639625568,2461273.7058135704
Qatar-1,Qatar-1__2026-08-21,-0.04316137633941253,-1.4709647737745568,0.9923362875247443,2461273.707813601
Qatar-1,Qatar-1__2026-08-21,-0.04104870380433567,-1.3989636667389294,1.0053516248862118,2461273.710813647
Qatar-1,Qatar-1__2026-08-21,-0.03964025555660555,-1.3509629324295445,0.9847175991071461,2461273.7128136777
Qatar-1,Qatar-1__2026-08-21,-0.03823180730933018,-1.3029621981356578,0.9950972465450368,2461273.7148137083
Qatar-1,Qatar-1__2026-08-21,-0.036823359062054806,-1.254961463841771,0.9982955524996004,2461273.716813739
Qatar-1,Qatar-1__2026-08-21,-0.035414910814324685,-1.206960729532386,1.0092153451798318,2461273.7188137695
Qatar-1,Qatar-1__2026-08-21,-0.03400646256704931,-1.1589599952384995,1.0143550274135238,2461273.7208138
Qatar-1,Qatar-1__2026-08-21,-0.03259801431977394,-1.1109592609446128,1.0104856919632936,2461273.7228138307
Qatar-1,Qatar-1__2026-08-21,-0.031189566072043817,-1.062958526635228,0.9993156594925007,2461273.7248138613
Qatar-1,Qatar-1__2026-08-21,-0.029781117824768444,-1.0149577923413413,1.0020906257976365,2461273.726813892
Qatar-1,Qatar-1__2026-08-21,-0.02837266957749307,-0.9669570580474546,0.9922191661425618,2461273.7288139225
Qatar-1,Qatar-1__2026-08-21,-0.02696422132976295,-0.9189563237380698,0.9984871245706307,2461273.730813953
